repoKey,repoType,foldersCount,filesCount,usedSpace,usedSpaceInBytes,itemsCount,packageType,projectKey,percentage
mcdp-maven-prod-local,LOCAL,4356,3007,334.67 GB,359349132502,7363,Maven,mcdp,2.22%
rcc1-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,rcc1,0%
artifactory-build-info,LOCAL,11,32,65.23 KB,66798,43,BuildInfo,default,0%
auto-trashcan,NA,88220,13032,354.90 GB,381073954734,101252,NA,default,2.36%
pos2-docker-quarantine-local,LOCAL,20,24,391.39 MB,410397288,44,Docker,pos2,0%
medp-npm-prod-local,LOCAL,4,3,43.26 KB,44297,7,npm,medp,0%
medp-npm-prod,VIRTUAL,0,0,0 bytes,0,0,npm,medp,0%
gtia-ansible-network-ops,LOCAL,0,44,2.99 MB,3133600,44,Generic,gtia,0%
dssp-docker-dev-local,LOCAL,6,55,544.62 MB,571079900,61,Docker,dssp,0%
kios-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,kios,0%
ordr-maven-dev,VIRTUAL,0,0,0 bytes,0,0,Maven,ordr,0%
gtar-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
vcet-docker-prod-local,LOCAL,0,0,0 bytes,0,0,Docker,vcet,0%
mcdp-docker-prod-local,LOCAL,467,3359,88.45 GB,94971575577,3826,Docker,mcdp,0.59%
medp-nuget-dev-remote-cache,CACHE,6,13,7.43 MB,7791542,19,NuGet,medp,0%
sand-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,sand,0%
sand-npm-dev-remote-cache,CACHE,52,55,1.01 MB,1057368,107,npm,sand,0%
gtia-ansible-sandbox-local,LOCAL,0,218,41.74 MB,43768689,218,Generic,gtia,0%
notuse-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
rcc1-generic-lambda-prod-local,LOCAL,0,0,0 bytes,0,0,Generic,rcc1,0%
pos2-binary,VIRTUAL,0,0,0 bytes,0,0,Generic,pos2,0%
brep-docker,VIRTUAL,0,0,0 bytes,0,0,Docker,brep,0%
mrmp-maven-prod-local,LOCAL,0,0,0 bytes,0,0,Maven,mrmp,0%
jfrog-usage-logs,LOCAL,36,464,144.51 KB,147981,500,Generic,default,0%
rcc1-npm-ui-shared-dev-local,LOCAL,0,0,0 bytes,0,0,npm,rcc1,0%
dret-maven-java,VIRTUAL,0,0,0 bytes,0,0,Maven,dret,0%
brep-maven,VIRTUAL,0,0,0 bytes,0,0,Maven,brep,0%
sand-maven-dev,VIRTUAL,0,0,0 bytes,0,0,Maven,sand,0%
dssp-maven-dev,VIRTUAL,0,0,0 bytes,0,0,Maven,dssp,0%
vcet-maven-dev-local,LOCAL,4,8,142.34 MB,149250102,12,Maven,vcet,0%
kios-generic-dev-local,LOCAL,0,1,15.52 MB,16278267,1,Generic,kios,0%
medx-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
rfm2-helm-dev,VIRTUAL,0,0,0 bytes,0,0,Helm,rfm2,0%
offr-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,offr,0%
sand-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,sand,0%
rcc1-helm-prod-virtual,VIRTUAL,0,0,0 bytes,0,0,Helm,rcc1,0%
kios-build-info,LOCAL,1,1,7.43 KB,7613,2,BuildInfo,kios,0%
mcop-docker-dev-local,LOCAL,16,221,3.33 GB,3572878193,237,Docker,mcop,0.02%
gdap-docker-dev-local,LOCAL,0,0,0 bytes,0,0,Docker,gdap,0%
gtee-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,gtee,0%
sand-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,sand,0%
key2-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
mflw-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,mflw,0%
ordr-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,ordr,0%
pos2-npm-local,LOCAL,0,1,20.70 KB,21200,1,npm,pos2,0%
gatr-ddash,LOCAL,0,0,0 bytes,0,0,Docker,gatr,0%
acct-docker-dev-local,LOCAL,0,0,0 bytes,0,0,Docker,acct,0%
oalt-docker-dev-local,LOCAL,0,0,0 bytes,0,0,Docker,oalt,0%
dret-docker-dev-local,LOCAL,0,0,0 bytes,0,0,Docker,dret,0%
mflw-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,mflw,0%
rcc1-docker-dev-local,LOCAL,64,459,4.77 GB,5121092438,523,Docker,rcc1,0.03%
